tick_ms,row_type,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,lat,lon,alt,speed,sats,vbat,gps_epoch,imu_sensor_us
430,I,0.0454,0.1026,1.0089,1.90,7.72,-2.24,,,,,,,,1430000
440,I,0.0451,0.1032,1.0084,1.94,7.70,-2.32,,,,,,,,1440000
450,I,0.0449,0.1037,1.0079,1.98,7.69,-2.40,,,,,,,,1450000
460,I,0.0447,0.1043,1.0074,2.02,7.68,-2.48,,,,,,,,1460000
470,I,0.0445,0.1048,1.0069,2.06,7.66,-2.57,,,,,,,,1470000
480,G,,,,,,,12.9717204,77.5948397,,44.9,9,,1710000000480,
480,I,0.0443,0.1053,1.0063,2.10,7.65,-2.65,,,,,,,,1480000
490,I,0.0441,0.1058,1.0058,2.14,7.63,-2.75,,,,,,,,1490000
500,I,0.0439,0.1063,1.0053,2.18,7.62,-2.84,,,,,,,,1500000
510,I,0.0438,0.1068,1.0047,2.22,7.60,-2.93,,,,,,,,1510000
520,I,0.0436,0.1072,1.0041,2.26,7.59,-3.03,,,,,,,,1520000
530,I,0.0435,0.1077,1.0036,2.30,7.57,-3.14,,,,,,,,1530000
540,I,0.0434,0.1081,1.0030,2.33,7.55,-3.24,,,,,,,,1540000
550,I,0.0433,0.1085,1.0024,2.37,7.54,-3.35,,,,,,,,1550000
560,I,0.0433,0.1089,1.0018,2.41,7.52,-3.46,,,,,,,,1560000
570,I,0.0433,0.1093,1.0012,2.44,7.50,-3.57,,,,,,,,1570000
580,I,0.0433,0.1096,1.0006,2.48,7.49,-3.69,,,,,,,,1580000
590,I,0.0433,0.1100,1.0000,2.52,7.47,-3.81,,,,,,,,1590000
600,G,,,,,,,12.9717400,77.5948944,,43.9,9,,1710000000600,
600,I,0.0434,0.1104,0.9994,2.55,7.45,-3.94,,,,,,,,1600000
610,I,0.0435,0.1107,0.9988,2.59,7.43,-4.07,,,,,,,,1610000
620,I,0.0436,0.1110,0.9981,2.62,7.41,-4.20,,,,,,,,1620000
630,I,0.0437,0.1114,0.9975,2.66,7.40,-4.34,,,,,,,,1630000
640,I,0.0439,0.1117,0.9969,2.69,7.38,-4.47,,,,,,,,1640000
650,I,0.0441,0.1120,0.9962,2.73,7.36,-4.62,,,,,,,,1650000
660,I,0.0444,0.1124,0.9956,2.76,7.34,-4.77,,,,,,,,1660000
670,I,0.0447,0.1127,0.9949,2.79,7.32,-4.92,,,,,,,,1670000
680,I,0.0450,0.1130,0.9942,2.83,7.30,-5.07,,,,,,,,1680000
690,I,0.0454,0.1133,0.9936,2.86,7.28,-5.23,,,,,,,,1690000
700,I,0.0457,0.1136,0.9929,2.89,7.26,-5.39,,,,,,,,1700000
710,I,0.0462,0.1139,0.9922,2.92,7.23,-5.55,,,,,,,,1710000
720,G,,,,,,,12.9717532,77.5949459,,42.7,9,,1710000000720,
720,I,0.0466,0.1142,0.9915,2.95,7.21,-5.72,,,,,,,,1720000
730,I,0.0471,0.1146,0.9909,2.98,7.19,-5.89,,,,,,,,1730000
740,I,0.0477,0.1149,0.9902,3.01,7.17,-6.07,,,,,,,,1740000
750,I,0.0482,0.1152,0.9895,3.05,7.15,-6.25,,,,,,,,1750000
760,I,0.0488,0.1155,0.9888,3.07,7.12,-6.42,,,,,,,,1760000
770,I,0.0495,0.1159,0.9881,3.10,7.10,-6.60,,,,,,,,1770000
780,I,0.0501,0.1162,0.9874,3.13,7.08,-6.79,,,,,,,,1780000
790,I,0.0508,0.1165,0.9867,3.16,7.06,-6.97,,,,,,,,1790000
800,I,0.0516,0.1169,0.9860,3.19,7.03,-7.15,,,,,,,,1800000
810,I,0.0523,0.1172,0.9853,3.22,7.01,-7.34,,,,,,,,1810000
820,I,0.0531,0.1176,0.9846,3.24,6.98,-7.52,,,,,,,,1820000
830,I,0.0539,0.1180,0.9839,3.27,6.96,-7.70,,,,,,,,1830000
840,G,,,,,,,12.9717595,77.5949934,,41.4,9,,1710000000840,
840,I,0.0547,0.1184,0.9832,3.30,6.94,-7.88,,,,,,,,1840000
850,I,0.0556,0.1187,0.9825,3.32,6.91,-8.05,,,,,,,,1850000
860,I,0.0565,0.1191,0.9818,3.35,6.89,-8.22,,,,,,,,1860000
870,I,0.0574,0.1196,0.9811,3.37,6.86,-8.39,,,,,,,,1870000
880,I,0.0583,0.1200,0.9804,3.40,6.83,-8.55,,,,,,,,1880000
890,I,0.0593,0.1204,0.9796,3.42,6.81,-8.70,,,,,,,,1890000
900,I,0.0602,0.1209,0.9789,3.45,6.78,-8.85,,,,,,,,1900000
910,I,0.0612,0.1213,0.9782,3.47,6.76,-8.98,,,,,,,,1910000
920,I,0.0622,0.1218,0.9775,3.49,6.73,-9.11,,,,,,,,1920000
930,I,0.0632,0.1223,0.9768,3.51,6.70,-9.23,,,,,,,,1930000
940,I,0.0642,0.1228,0.9761,3.54,6.67,-9.33,,,,,,,,1940000
950,I,0.0652,0.1234,0.9754,3.56,6.65,-9.42,,,,,,,,1950000
960,G,,,,,,,12.9717586,77.5950365,,39.9,9,,1710000000960,
960,I,0.0662,0.1239,0.9747,3.58,6.62,-9.50,,,,,,,,1960000
970,I,0.0672,0.1245,0.9740,3.60,6.59,-9.56,,,,,,,,1970000
980,I,0.0682,0.1250,0.9733,3.62,6.56,-9.61,,,,,,,,1980000
990,I,0.0692,0.1256,0.9726,3.64,6.53,-9.65,,,,,,,,1990000
1000,I,0.0702,0.1262,0.9719,3.66,6.51,-9.67,,,,,,,,2000000
1010,I,0.0712,0.1269,0.9712,3.68,6.48,-9.67,,,,,,,,2010000
1020,I,0.0722,0.1275,0.9705,3.69,6.45,-9.66,,,,,,,,2020000
1030,I,0.0731,0.1282,0.9698,3.71,6.42,-9.64,,,,,,,,2030000
1040,I,0.0741,0.1289,0.9691,3.73,6.39,-9.60,,,,,,,,2040000
1050,I,0.0750,0.1296,0.9685,3.74,6.36,-9.54,,,,,,,,2050000
1060,I,0.0759,0.1303,0.9678,3.76,6.33,-9.48,,,,,,,,2060000
1070,I,0.0768,0.1310,0.9671,3.78,6.30,-9.40,,,,,,,,2070000
1080,G,,,,,,,12.9717505,77.5950746,,38.6,9,,1710000001080,
1080,I,0.0776,0.1318,0.9664,3.79,6.27,-9.31,,,,,,,,2080000
1090,I,0.0785,0.1326,0.9658,3.81,6.24,-9.20,,,,,,,,2090000
1100,I,0.0793,0.1334,0.9651,3.82,6.20,-9.09,,,,,,,,2100000
1110,I,0.0800,0.1342,0.9644,3.83,6.17,-8.97,,,,,,,,2110000
1120,I,0.0808,0.1350,0.9638,3.85,6.14,-8.83,,,,,,,,2120000
1130,I,0.0815,0.1359,0.9631,3.86,6.11,-8.70,,,,,,,,2130000
1140,I,0.0821,0.1368,0.9625,3.87,6.08,-8.55,,,,,,,,2140000
1150,I,0.0827,0.1377,0.9619,3.88,6.04,-8.40,,,,,,,,2150000
1160,I,0.0833,0.1386,0.9612,3.89,6.01,-8.25,,,,,,,,2160000
1170,I,0.0838,0.1396,0.9606,3.90,5.98,-8.09,,,,,,,,2170000
1180,I,0.0843,0.1405,0.9600,3.91,5.95,-7.93,,,,,,,,2180000
1190,I,0.0847,0.1415,0.9594,3.92,5.91,-7.76,,,,,,,,2190000
1200,G,,,,,,,12.9717356,77.5951074,,37.3,9,,1710000001200,
1200,I,0.0851,0.1425,0.9588,3.93,5.88,-7.60,,,,,,,,2200000
1210,I,0.0854,0.1435,0.9582,3.94,5.84,-7.43,,,,,,,,2210000
1220,I,0.0856,0.1446,0.9576,3.95,5.81,-7.27,,,,,,,,2220000
1230,I,0.0858,0.1457,0.9570,3.95,5.78,-7.11,,,,,,,,2230000
1240,I,0.0859,0.1467,0.9564,3.96,5.74,-6.94,,,,,,,,2240000
1250,I,0.0860,0.1479,0.9559,3.97,5.71,-6.78,,,,,,,,2250000
1260,I,0.0860,0.1490,0.9553,3.97,5.67,-6.62,,,,,,,,2260000
1270,I,0.0860,0.1501,0.9547,3.98,5.64,-6.47,,,,,,,,2270000
1280,I,0.0858,0.1513,0.9542,3.98,5.60,-6.32,,,,,,,,2280000
1290,I,0.0856,0.1525,0.9537,3.99,5.57,-6.17,,,,,,,,2290000
1300,I,0.0854,0.1537,0.9531,3.99,5.53,-6.02,,,,,,,,2300000
1310,I,0.0850,0.1549,0.9526,3.99,5.49,-5.88,,,,,,,,2310000
1320,G,,,,,,,12.9717146,77.5951344,,36.1,9,,1710000001320,
1320,I,0.0846,0.1561,0.9521,4.00,5.46,-5.74,,,,,,,,2320000
1330,I,0.0842,0.1574,0.9516,4.00,5.42,-5.60,,,,,,,,2330000
1340,I,0.0836,0.1586,0.9511,4.00,5.38,-5.47,,,,,,,,2340000
1350,I,0.0830,0.1599,0.9506,4.00,5.35,-5.35,,,,,,,,2350000
1360,I,0.0823,0.1612,0.9501,4.00,5.31,-5.22,,,,,,,,2360000
1370,I,0.0815,0.1625,0.9497,4.00,5.27,-5.10,,,,,,,,2370000
1380,I,0.0807,0.1639,0.9492,4.00,5.24,-4.99,,,,,,,,2380000
1390,I,0.0798,0.1652,0.9488,4.00,5.20,-4.88,,,,,,,,2390000
1400,I,0.0788,0.1666,0.9483,4.00,5.16,-4.77,,,,,,,,2400000
1410,I,0.0777,0.1680,0.9479,3.99,5.12,-4.67,,,,,,,,2410000
1420,I,0.0766,0.1693,0.9475,3.99,5.08,-4.57,,,,,,,,2420000
1430,I,0.0753,0.1707,0.9471,3.99,5.05,-4.47,,,,,,,,2430000
1440,G,,,,,,,12.9716884,77.5951553,,35.2,9,,1710000001440,
1440,I,0.0741,0.1721,0.9467,3.98,5.01,-4.38,,,,,,,,2440000
1450,I,0.0727,0.1736,0.9463,3.98,4.97,-4.29,,,,,,,,2450000
1460,I,0.0713,0.1750,0.9459,3.97,4.93,-4.21,,,,,,,,2460000
1470,I,0.0698,0.1764,0.9455,3.97,4.89,-4.13,,,,,,,,2470000
1480,I,0.0682,0.1779,0.9452,3.96,4.85,-4.05,,,,,,,,2480000
1490,I,0.0665,0.1793,0.9448,3.96,4.81,-3.98,,,,,,,,2490000
1500,I,0.0648,0.1808,0.9445,3.95,4.77,-3.91,,,,,,,,2500000
1510,I,0.0630,0.1823,0.9442,3.94,4.73,-3.84,,,,,,,,2510000
1520,I,0.0612,0.1837,0.9439,3.93,4.69,-3.78,,,,,,,,2520000
1530,I,0.0593,0.1852,0.9436,3.92,4.65,-3.72,,,,,,,,2530000
1540,I,0.0573,0.1867,0.9433,3.92,4.61,-3.66,,,,,,,,2540000
1550,I,0.0553,0.1882,0.9430,3.91,4.57,-3.61,,,,,,,,2550000
1560,G,,,,,,,12.9716583,77.5951700,,34.5,9,,1710000001560,
1560,I,0.0532,0.1897,0.9427,3.90,4.53,-3.55,,,,,,,,2560000
1570,I,0.0511,0.1912,0.9425,3.88,4.49,-3.50,,,,,,,,2570000
1580,I,0.0489,0.1927,0.9423,3.87,4.45,-3.46,,,,,,,,2580000
1590,I,0.0466,0.1941,0.9420,3.86,4.40,-3.42,,,,,,,,2590000
1600,I,0.0443,0.1956,0.9418,3.85,4.36,-3.37,,,,,,,,2600000
1610,I,0.0420,0.1971,0.9416,3.84,4.32,-3.34,,,,,,,,2610000
1620,I,0.0396,0.1986,0.9414,3.82,4.28,-3.30,,,,,,,,2620000
1630,I,0.0371,0.2001,0.9412,3.81,4.24,-3.27,,,,,,,,2630000
1640,I,0.0347,0.2016,0.9411,3.80,4.20,-3.24,,,,,,,,2640000
1650,I,0.0321,0.2030,0.9409,3.78,4.15,-3.21,,,,,,,,2650000
1660,I,0.0296,0.2045,0.9408,3.77,4.11,-3.18,,,,,,,,2660000
1670,I,0.0270,0.2060,0.9406,3.75,4.07,-3.16,,,,,,,,2670000
1680,G,,,,,,,12.9716255,77.5951782,,34.1,9,,1710000001680,
1680,I,0.0244,0.2074,0.9405,3.73,4.02,-3.14,,,,,,,,2680000
1690,I,0.0217,0.2089,0.9404,3.72,3.98,-3.12,,,,,,,,2690000
1700,I,0.0191,0.2103,0.9403,3.70,3.94,-3.10,,,,,,,,2700000
1710,I,0.0164,0.2117,0.9402,3.68,3.90,-3.09,,,,,,,,2710000
1720,I,0.0137,0.2131,0.9402,3.66,3.85,-3.08,,,,,,,,2720000
1730,I,0.0110,0.2145,0.9401,3.64,3.81,-3.07,,,,,,,,2730000
1740,I,0.0082,0.2159,0.9401,3.62,3.76,-3.06,,,,,,,,2740000
1750,I,0.0055,0.2173,0.9400,3.60,3.72,-3.06,,,,,,,,2750000
1760,I,0.0028,0.2187,0.9400,3.58,3.68,-3.05,,,,,,,,2760000
1770,I,0.0000,0.2200,0.9400,3.56,3.63,-3.05,,,,,,,,2770000
1780,I,-0.0028,0.2213,0.9400,3.54,3.59,-3.05,,,,,,,,2780000
1790,I,-0.0055,0.2226,0.9400,3.52,3.54,-3.06,,,,,,,,2790000
1800,G,,,,,,,12.9715915,77.5951798,,34.0,9,,1710000001800,
1800,I,-0.0082,0.2239,0.9401,3.50,3.50,-3.06,,,,,,,,2800000
1810,I,-0.0110,0.2252,0.9401,3.48,3.45,-3.07,,,,,,,,2810000
1820,I,-0.0137,0.2264,0.9402,3.45,3.41,-3.08,,,,,,,,2820000
1830,I,-0.0164,0.2276,0.9402,3.43,3.36,-3.09,,,,,,,,2830000
1840,I,-0.0191,0.2288,0.9403,3.41,3.32,-3.10,,,,,,,,2840000
1850,I,-0.0217,0.2300,0.9404,3.38,3.27,-3.12,,,,,,,,2850000
1860,I,-0.0244,0.2312,0.9405,3.36,3.23,-3.14,,,,,,,,2860000
1870,I,-0.0270,0.2323,0.9406,3.33,3.18,-3.16,,,,,,,,2870000
1880,I,-0.0296,0.2334,0.9408,3.31,3.14,-3.18,,,,,,,,2880000
1890,I,-0.0321,0.2345,0.9409,3.28,3.09,-3.21,,,,,,,,2890000
1900,I,-0.0347,0.2355,0.9411,3.25,3.05,-3.24,,,,,,,,2900000
1910,I,-0.0371,0.2365,0.9412,3.23,3.00,-3.27,,,,,,,,2910000
1920,G,,,,,,,12.9715579,77.5951749,,34.2,9,,1710000001920,
1920,I,-0.0396,0.2375,0.9414,3.20,2.95,-3.30,,,,,,,,2920000
1930,I,-0.0420,0.2384,0.9416,3.17,2.91,-3.34,,,,,,,,2930000
1940,I,-0.0443,0.2394,0.9418,3.14,2.86,-3.37,,,,,,,,2940000
1950,I,-0.0466,0.2403,0.9420,3.11,2.81,-3.42,,,,,,,,2950000
1960,I,-0.0489,0.2411,0.9423,3.08,2.77,-3.46,,,,,,,,2960000
1970,I,-0.0511,0.2419,0.9425,3.05,2.72,-3.50,,,,,,,,2970000
1980,I,-0.0532,0.2427,0.9427,3.02,2.67,-3.55,,,,,,,,2980000
1990,I,-0.0553,0.2435,0.9430,2.99,2.63,-3.61,,,,,,,,2990000
2000,I,-0.0573,0.2442,0.9433,2.96,2.58,-3.66,,,,,,,,3000000
2010,I,-0.0593,0.2448,0.9436,2.93,2.53,-3.72,,,,,,,,3010000
2020,I,-0.0612,0.2455,0.9439,2.90,2.49,-3.78,,,,,,,,3020000
2030,I,-0.0630,0.2461,0.9442,2.87,2.44,-3.84,,,,,,,,3030000
2040,G,,,,,,,12.9715262,77.5951634,,34.8,9,,1710000002040,
2040,I,-0.0648,0.2466,0.9445,2.84,2.39,-3.91,,,,,,,,3040000
2050,I,-0.0665,0.2472,0.9448,2.80,2.34,-3.98,,,,,,,,3050000
2060,I,-0.0682,0.2476,0.9452,2.77,2.30,-4.05,,,,,,,,3060000
2070,I,-0.0698,0.2481,0.9455,2.74,2.25,-4.13,,,,,,,,3070000
2080,I,-0.0713,0.2485,0.9459,2.70,2.20,-4.21,,,,,,,,3080000
2090,I,-0.0727,0.2488,0.9463,2.67,2.15,-4.29,,,,,,,,3090000
2100,I,-0.0741,0.2491,0.9467,2.63,2.10,-4.38,,,,,,,,3100000
2110,I,-0.0753,0.2494,0.9471,2.60,2.06,-4.47,,,,,,,,3110000
2120,I,-0.0766,0.2496,0.9475,2.56,2.01,-4.57,,,,,,,,3120000
2130,I,-0.0777,0.2498,0.9479,2.53,1.96,-4.67,,,,,,,,3130000
2140,I,-0.0788,0.2499,0.9483,2.49,1.91,-4.77,,,,,,,,3140000
2150,I,-0.0798,0.2500,0.9488,2.46,1.86,-4.88,,,,,,,,3150000
2160,G,,,,,,,12.9714979,77.5951456,,35.6,9,,1710000002160,
2160,I,-0.0807,0.2500,0.9492,2.42,1.82,-4.99,,,,,,,,3160000
2170,I,-0.0815,0.2500,0.9497,2.38,1.77,-5.10,,,,,,,,3170000
2180,I,-0.0823,0.2500,0.9501,2.35,1.72,-5.22,,,,,,,,3180000
2190,I,-0.0830,0.2499,0.9506,2.31,1.67,-5.35,,,,,,,,3190000
2200,I,-0.0836,0.2497,0.9511,2.27,1.62,-5.47,,,,,,,,3200000
2210,I,-0.0842,0.2495,0.9516,2.23,1.57,-5.60,,,,,,,,3210000
2220,I,-0.0846,0.2493,0.9521,2.19,1.52,-5.74,,,,,,,,3220000
2230,I,-0.0850,0.2490,0.9526,2.15,1.48,-5.88,,,,,,,,3230000
2240,I,-0.0854,0.2486,0.9531,2.12,1.43,-6.02,,,,,,,,3240000
2250,I,-0.0856,0.2482,0.9537,2.08,1.38,-6.17,,,,,,,,3250000
2260,I,-0.0858,0.2478,0.9542,2.04,1.33,-6.32,,,,,,,,3260000
2270,I,-0.0860,0.2473,0.9547,2.00,1.28,-6.47,,,,,,,,3270000
2280,G,,,,,,,12.9714742,77.5951216,,36.7,9,,1710000002280,
2280,I,-0.0860,0.2467,0.9553,1.96,1.23,-6.62,,,,,,,,3280000
2290,I,-0.0860,0.2461,0.9559,1.92,1.18,-6.78,,,,,,,,3290000
2300,I,-0.0859,0.2455,0.9564,1.88,1.13,-6.94,,,,,,,,3300000
2310,I,-0.0858,0.2448,0.9570,1.83,1.08,-7.11,,,,,,,,3310000
2320,I,-0.0856,0.2440,0.9576,1.79,1.03,-7.27,,,,,,,,3320000
2330,I,-0.0854,0.2432,0.9582,1.75,0.98,-7.43,,,,,,,,3330000
2340,I,-0.0851,0.2424,0.9588,1.71,0.94,-7.60,,,,,,,,3340000
2350,I,-0.0847,0.2415,0.9594,1.67,0.89,-7.76,,,,,,,,3350000
2360,I,-0.0843,0.2405,0.9600,1.63,0.84,-7.93,,,,,,,,3360000
2370,I,-0.0838,0.2395,0.9606,1.58,0.79,-8.09,,,,,,,,3370000
2380,I,-0.0833,0.2385,0.9612,1.54,0.74,-8.25,,,,,,,,3380000
2390,I,-0.0827,0.2374,0.9619,1.50,0.69,-8.40,,,,,,,,3390000
2400,G,,,,,,,12.9714561,77.5950917,,37.9,9,,1710000002400,
2400,I,-0.0821,0.2362,0.9625,1.46,0.64,-8.55,,,,,,,,3400000
2410,I,-0.0815,0.2350,0.9631,1.41,0.59,-8.70,,,,,,,,3410000
2420,I,-0.0808,0.2338,0.9638,1.37,0.54,-8.83,,,,,,,,3420000
2430,I,-0.0800,0.2325,0.9644,1.33,0.49,-8.97,,,,,,,,3430000
2440,I,-0.0793,0.2311,0.9651,1.28,0.44,-9.09,,,,,,,,3440000
2450,I,-0.0785,0.2297,0.9658,1.24,0.39,-9.20,,,,,,,,3450000
2460,I,-0.0776,0.2283,0.9664,1.20,0.34,-9.31,,,,,,,,3460000
2470,I,-0.0768,0.2268,0.9671,1.15,0.29,-9.40,,,,,,,,3470000
2480,I,-0.0759,0.2252,0.9678,1.11,0.24,-9.48,,,,,,,,3480000
2490,I,-0.0750,0.2236,0.9685,1.06,0.19,-9.54,,,,,,,,3490000
2500,I,-0.0741,0.2220,0.9691,1.02,0.14,-9.60,,,,,,,,3500000
2510,I,-0.0731,0.2203,0.9698,0.97,0.09,-9.64,,,,,,,,3510000
2520,G,,,,,,,12.9714446,77.5950562,,39.2,9,,1710000002520,
2520,I,-0.0722,0.2186,0.9705,0.93,0.04,-9.66,,,,,,,,3520000
2530,I,-0.0712,0.2168,0.9712,0.88,-0.01,-9.67,,,,,,,,3530000
2540,I,-0.0702,0.2150,0.9719,0.84,-0.06,-9.67,,,,,,,,3540000
2550,I,-0.0692,0.2131,0.9726,0.79,-0.11,-9.65,,,,,,,,3550000
2560,I,-0.0682,0.2112,0.9733,0.75,-0.16,-9.61,,,,,,,,3560000
2570,I,-0.0672,0.2092,0.9740,0.70,-0.21,-9.56,,,,,,,,3570000
2580,I,-0.0662,0.2072,0.9747,0.66,-0.26,-9.50,,,,,,,,3580000
2590,I,-0.0652,0.2052,0.9754,0.61,-0.31,-9.42,,,,,,,,3590000
2600,I,-0.0642,0.2031,0.9761,0.57,-0.35,-9.33,,,,,,,,3600000
2610,I,-0.0632,0.2010,0.9768,0.52,-0.40,-9.23,,,,,,,,3610000
2620,I,-0.0622,0.1988,0.9775,0.47,-0.45,-9.11,,,,,,,,3620000
2630,I,-0.0612,0.1966,0.9782,0.43,-0.50,-8.98,,,,,,,,3630000
2640,G,,,,,,,12.9714401,77.5950155,,40.7,9,,1710000002640,
2640,I,-0.0602,0.1944,0.9789,0.38,-0.55,-8.85,,,,,,,,3640000
2650,I,-0.0593,0.1921,0.9796,0.34,-0.60,-8.70,,,,,,,,3650000
2660,I,-0.0583,0.1898,0.9804,0.29,-0.65,-8.55,,,,,,,,3660000
2670,I,-0.0574,0.1874,0.9811,0.24,-0.70,-8.39,,,,,,,,3670000
2680,I,-0.0565,0.1850,0.9818,0.20,-0.75,-8.22,,,,,,,,3680000
2690,I,-0.0556,0.1826,0.9825,0.15,-0.80,-8.05,,,,,,,,3690000
2700,I,-0.0547,0.1801,0.9832,0.11,-0.85,-7.88,,,,,,,,3700000
2710,I,-0.0539,0.1776,0.9839,0.06,-0.90,-7.70,,,,,,,,3710000
2720,I,-0.0531,0.1751,0.9846,0.01,-0.95,-7.52,,,,,,,,3720000
2730,I,-0.0523,0.1725,0.9853,-0.03,-1.00,-7.34,,,,,,,,3730000
2740,I,-0.0516,0.1699,0.9860,-0.08,-1.05,-7.15,,,,,,,,3740000
2750,I,-0.0508,0.1673,0.9867,-0.12,-1.10,-6.97,,,,,,,,3750000
2760,G,,,,,,,12.9714428,77.5949702,,42.0,9,,1710000002760,
2760,I,-0.0501,0.1646,0.9874,-0.17,-1.15,-6.79,,,,,,,,3760000
2770,I,-0.0495,0.1620,0.9881,-0.22,-1.20,-6.60,,,,,,,,3770000
2780,I,-0.0488,0.1593,0.9888,-0.26,-1.24,-6.42,,,,,,,,3780000
2790,I,-0.0482,0.1565,0.9895,-0.31,-1.29,-6.25,,,,,,,,3790000
2800,I,-0.0477,0.1538,0.9902,-0.35,-1.34,-6.07,,,,,,,,3800000
2810,I,-0.0471,0.1510,0.9909,-0.40,-1.39,-5.89,,,,,,,,3810000
2820,I,-0.0466,0.1482,0.9915,-0.45,-1.44,-5.72,,,,,,,,3820000
2830,I,-0.0462,0.1453,0.9922,-0.49,-1.49,-5.55,,,,,,,,3830000
2840,I,-0.0457,0.1425,0.9929,-0.54,-1.54,-5.39,,,,,,,,3840000
